Count : 18
+-----------------------------+--------+--------+-----------+-----------+-----------+------------+
| Test                        | Repeat | Take   | AdoNet    | L2DB_Linq | EG6_Linq  | LoWCF_Linq |
+-----------------------------+--------+--------+-----------+-----------+-----------+------------+
| GetSingleColumnFast         |   1000 |        | 0.0216843 | 0.0435582 | 0.1157700 |  0.5488530 |
| GetSingleColumnSlow         |   1000 |        | 0.0384255 | 0.0595696 | 0.1506355 |  1.0255910 |
| GetSingleColumnParam        |   1000 |        | 0.0257767 | 0.0476188 | 0.1417986 |  0.5518419 |
| GetNarrowList               |   1000 |      1 | 0.0380474 | 0.0511802 | 0.1294793 |  1.0170024 |
| GetNarrowList               |   1000 |     10 | 0.0392429 | 0.0539995 | 0.1444153 |  1.0339559 |
| GetNarrowList               |   1000 |    100 | 0.0560766 | 0.0755604 | 0.2783346 |  1.0897437 |
| GetNarrowList               |    100 |   1000 | 0.0249128 | 0.0316599 | 0.1679138 |  0.1783244 |
| GetNarrowList               |     10 |  10000 | 0.0139260 | 0.0202641 | 0.2182744 |  0.0923071 |
| GetNarrowList               |      1 | 100000 | 0.0128147 | 0.0177623 | 0.2388751 |  0.1040571 |
| GetWideList                 |   1000 |      1 | 0.0399723 | 0.0536991 | 0.1335484 |  1.1015135 |
| GetWideList                 |   1000 |     10 | 0.0454846 | 0.0626317 | 0.1623427 |  1.0836867 |
| GetWideList                 |   1000 |    100 | 0.1854696 | 0.2064025 | 0.4925618 |  1.3853595 |
| GetWideList                 |    100 |   1000 | 0.0644745 | 0.0777132 | 0.3015367 |  0.4674135 |
| GetWideList                 |     10 |  10000 | 0.0529604 | 0.0622156 | 0.3805648 |  0.2880797 |
| SimpleLinqQuery             |   1000 |      1 | 0.0378687 | 0.0648425 | 0.1598494 |  2.0369430 |
| ComplicatedLinqFast         |   1000 |      1 | 0.0375629 | 0.1012217 | 0.3184756 |  2.3613476 |
| ComplicatedLinqSlow(250000) |     20 |     10 | 1.7393460 | 1.7174914 | 1.4790589 |  1.7739201 |
| ComplicatedLinqSlow(500000) |     10 |     10 | 1.2280659 | 1.3662115 | 1.2764932 |  1.4633556 |
+-----------------------------+--------+--------+-----------+-----------+-----------+------------+
